epoch,time(s),learning late,train_loss,validation_loss,validation_error(%)
00178,00196,0.00322876618052205184,0.009454,0.03,0.00081928,20.01
00179,00196,0.00295693199267320480,0.006335,0.03,0.00080719,19.95
00180,00196,0.00269670510130214916,0.008528,0.02,0.00081638,19.83
00181,00196,0.00244814971350047110,0.008842,0.03,0.00081074,19.97
00182,00196,0.00221132715659089337,0.006064,0.03,0.00080854,19.86
00183,00196,0.00198629586299568566,0.007087,0.02,0.00081272,20.31
00184,00196,0.00177311135581932535,0.008270,0.02,0.00081671,20.07
00185,00196,0.00157182623514901063,0.006043,0.02,0.00081336,20.04
00186,00196,0.00138249016507637108,0.006747,0.02,0.00081472,20.09
00187,00196,0.00120514986144359786,0.006482,0.03,0.00081399,19.97
00188,00196,0.00103984908031701804,0.006451,0.03,0.00081681,20.17
00189,00196,0.00088662860719093391,0.006703,0.03,0.00081205,20.02
00190,00196,0.00074552624692438398,0.006958,0.02,0.00081236,20.06
00191,00196,0.00061657681441341461,0.006971,0.02,0.00080972,20.14
00192,00196,0.00049981212600098144,0.006071,0.02,0.00081766,20.01
00193,00196,0.00039526099162676896,0.006339,0.02,0.00081636,20.04
00194,00196,0.00030294920771874786,0.006754,0.02,0.00081682,20.11
00195,00196,0.00022289955082830173,0.007204,0.03,0.00081480,19.93
00196,00196,0.00015513177201046839,0.006258,0.03,0.00081104,19.90
00197,00196,0.00009966259195063621,0.006653,0.03,0.00081302,19.94
00198,00196,0.00005650569683898581,0.006290,0.02,0.00081098,19.82
00199,00196,0.00002567173499360287,0.006137,0.02,0.00081794,20.02
00200,00196,0.00000716831423321145,0.008697,0.01,0.00081801,20.20
Number, Predicted, Actual
00001,00049,00049
00002,00033,00033
00003,00072,00072
00004,00051,00051
00005,00071,00071
00006,00079,00092
00007,00015,00015
00008,00014,00014
00009,00071,00023
00010,00000,00000
00011,00059,00071
00012,00075,00075
00013,00081,00081
00014,00069,00069
00015,00040,00040
00016,00043,00043
00017,00092,00092
00018,00097,00097
00019,00070,00070
00020,00053,00053
00021,00070,00070
00022,00049,00049
00023,00075,00075
00024,00069,00029
00025,00021,00021
00026,00016,00016
00027,00039,00039
00028,00008,00008
00029,00008,00008
00030,00070,00070
00031,00020,00020
00032,00061,00061
00033,00041,00041
00034,00073,00093
00035,00056,00056
00036,00065,00073
00037,00058,00058
00038,00011,00011
00039,00025,00025
00040,00037,00037
00041,00063,00063
00042,00024,00024
00043,00023,00049
00044,00030,00073
00045,00056,00056
00046,00022,00022
00047,00041,00041
00048,00058,00058
00049,00097,00075
00050,00017,00017
00051,00004,00004
00052,00006,00006
00053,00009,00009
00054,00057,00057
